,Date,Daily_sentiment
0,2022-09-03,0
5,2022-09-02,0
10,2022-09-01,0
15,2022-08-31,0
20,2022-08-30,0
25,2022-08-29,0
30,2022-08-28,1
35,2022-08-27,0
40,2022-08-26,-1
45,2022-08-25,0
50,2022-08-24,0
55,2022-08-23,0
60,2022-08-22,0
65,2022-08-21,1
70,2022-08-20,0
75,2022-08-19,0
80,2022-08-18,0
85,2022-08-17,0
90,2022-08-16,1
95,2022-08-15,0
100,2022-08-14,1
105,2022-08-13,0
110,2022-08-12,0
115,2022-08-11,0
120,2022-08-10,0
125,2022-08-09,0
130,2022-08-08,1
135,2022-08-07,0
140,2022-08-06,0
145,2022-08-05,0
150,2022-08-04,0
155,2022-08-03,0
160,2022-08-02,0
165,2022-08-01,0
169,2022-07-31,0
174,2022-07-30,0
179,2022-07-29,0
184,2022-07-28,0
189,2022-07-27,1
194,2022-07-26,0
199,2022-07-25,0
204,2022-07-24,0
209,2022-07-23,0
214,2022-07-22,-1
219,2022-07-21,0
224,2022-07-20,0
229,2022-07-19,0
234,2022-07-18,0
239,2022-07-17,0
244,2022-07-16,0
249,2022-07-15,1
254,2022-07-14,1
259,2022-07-13,0
264,2022-07-12,1
269,2022-07-11,0
274,2022-07-10,0
279,2022-07-09,0
284,2022-07-08,0
289,2022-07-07,0
294,2022-07-06,0
299,2022-07-05,-1
304,2022-07-04,0
309,2022-07-03,0
314,2022-07-02,0
319,2022-07-01,0
324,2022-06-30,1
329,2022-06-29,0
334,2022-06-28,0
339,2022-06-27,1
344,2022-06-26,0
349,2022-06-25,0
354,2022-06-24,0
359,2022-06-23,0
364,2022-06-22,1
369,2022-06-21,0
374,2022-06-20,0
379,2022-06-19,1
384,2022-06-18,1
389,2022-06-17,0
394,2022-06-16,0
399,2022-06-15,0
404,2022-06-14,0
409,2022-06-13,1
414,2022-06-12,1
419,2022-06-11,-1
424,2022-06-10,0
429,2022-06-09,1
434,2022-06-08,0
439,2022-06-07,0
444,2022-06-06,-1
449,2022-06-05,1
454,2022-06-04,0
459,2022-06-03,0
464,2022-06-02,1
469,2022-06-01,0
474,2022-05-31,0
479,2022-05-30,0
484,2022-05-29,0
489,2022-05-28,1
494,2022-05-27,0
499,2022-05-26,0
504,2022-05-25,0
509,2022-05-24,0
